task,stage,attack_acc,cv_acc,auc
19,pre,0.628,0.192,0.6686
19,post,0.528,0.098,0.5218
18,pre,0.596,0.204,0.6154
18,post,0.514,0.104,0.5388
17,pre,0.574,0.152,0.6115
17,post,0.516,0.11,0.5162
16,pre,0.606,0.226,0.646
16,post,0.526,0.128,0.5735
15,pre,0.53,0.114,0.5521
15,post,0.552,0.092,0.553
14,pre,0.542,0.098,0.521
14,post,0.506,0.102,0.5121
13,pre,0.564,0.1,0.5877
13,post,0.528,0.098,0.5449
12,pre,0.542,0.134,0.5654
12,post,0.484,0.102,0.5126
11,pre,0.56,0.174,0.5827
11,post,0.544,0.098,0.5512
10,pre,0.512,0.118,0.5154
10,post,0.494,0.088,0.4958
9,pre,0.532,0.134,0.5486
9,post,0.47,0.104,0.4851
8,pre,0.524,0.138,0.5842
8,post,0.49,0.098,0.4963
7,pre,0.536,0.094,0.5711
7,post,0.498,0.1,0.4819
6,pre,0.532,0.12,0.5433
6,post,0.47,0.082,0.456
5,pre,0.524,0.114,0.579
5,post,0.546,0.1,0.5425
4,pre,0.516,0.128,0.5408
4,post,0.448,0.104,0.4229
3,pre,0.532,0.132,0.5604
3,post,0.528,0.11,0.5434
2,pre,0.552,0.094,0.5769
2,post,0.508,0.084,0.5164
1,pre,0.526,0.106,0.5307
1,post,0.478,0.104,0.5037
